,SID,key,Module #,Module,Method,MID,Selected,Reason,Familiar
0,S_0,1,1,Research,1:1 Interview,M_0,True,"I've never used this method, despite know about it. In my role, I need to deep my knowledge in how to put this method in practice.",True
1,S_0,1,1,Research,AEIOU,M_1,False,"Because in my routine as Product Manager and Business Manager, are others method that sounds more fittable with my challenges;",False
2,S_0,1,1,Research,Closed Card Sorting,M_2,False,"Because in my routine as Product Manager and Business Manager, are others method that sounds more fittable with my challenges",False
3,S_0,1,1,Research,Community Appraisal,M_3,False,"As a Product Manager and Business Manager, I believe that are others methdos more appropriated to our challenges ",False
4,S_0,1,1,Research,Competitive Analysis,M_4,False,"As a Product Manager and Business Manager, I believe that are others methdos more appropriated to our challenges",True
5,S_0,1,1,Research,Conjoint Analysis,M_5,False,"As a Product Manager and Business Manager, I believe that are others methdos more appropriated to our challenges",False
6,S_0,1,1,Research,Conversation Cafe,M_6,False,"As a Product Manager and Business Manager, I believe that are others methdos more appropriated to our challenges",True
7,S_0,1,1,Research,Design Ethnography,M_7,False,"Because in my routine as Product Manager and Business Manager, are others method that sounds more fittable with my challenges",False
8,S_0,1,1,Research,Focus Group,M_8,True,Our business lives a moment to understand more - and the bottom line! - the real needs and problems of our customers. I imagine that the Focus Group could be a suitable tool for this.,True
9,S_0,1,1,Research,Open Card Sorting,M_9,False,"Because in my routine as Product Manager and Business Manager, are others method that sounds more fittable with my challenges",False
10,S_0,1,1,Research,POEMS,M_10,False,"Because in my routine as Product Manager and Business Manager, are others method that sounds more fittable with my challenges",False
11,S_0,1,1,Research,POSTA,M_11,False,"Because in my routine as Product Manager and Business Manager, are others method that sounds more fittable with my challenges",False
12,S_0,1,1,Research,Usability Testing,M_12,False,"As a Product Manager and Business Manager, I believe that are others methdos more appropriated to our business challenges.",True
13,S_0,1,1,Research,User Observation,M_13,False,"As a Product Manager and Business Manager, I believe that are others methdos more appropriated to our business challenges.",True
14,S_0,1,2,Analysis,2x2 Matrix,M_14,False,"I did not know the method. Interesting the application comparatively to the others, but to the moment that I am in the business in which I am part she perhaps is not the ideal one. I prioritized other methods.",False
15,S_0,1,2,Analysis,Affinity Diagram,M_15,False,"Interesting method, did not know it. However, I have identified more assertive methods to use in solving the problem in which I work in Brazil.",False
