,Team,Module,Chosen Method,Reason,Decision Process
0,Team 1,1,1:1 Interview,"Since our team is focusing on creating a product to help undergraduate students improve their health, we believe that it is essential to gather information directly from our target market on any difficulties that they have faced in maintaining their health and if they have used any other devices or products.","Our team agreed to use the 1:1 Interview method to gather insight from our target market in a personal and direct fashion. We also considered using community appraisal, but decided to use 1:1 interview instead since we believe 1:1 interview allows us to narrow down our target group and understand each individual on a deeper and personal level."
1,Team 1,1,Open Card Sorting,"We decided to go with the open card sorting method because unlike closed card sorting, where users are given only the options to use predetermined categories, open card sorting provides users the freedom to create their own set of categories. This will give us more insight on each userÛªs unique experience and perspectives.","Initially, our team was choosing between closed and open card sorting method, but we came to the conclusion that open card sorting may provide useful information based on how our target consumers organize content idea cards and name each group."
2,Team 1,1,AEIOU,The AEIOU method will allow us to observe undergraduate students and their interactions to identify and analyze their everyday behavior. By taking into consideration these finding we will be able to create a product that will aid their health endeavors while also successfully merging into their lifestyle.,"We decided that the AEIOU method would enable us to collect observations on our target marketÛªs daily lives in order to create a personal product. Competitive analysis was also considered by the team as an alternative method, but we ultimately decided to pursue AEIOU instead to focus more on the consumerÛªs needs."
3,Team 2,1,1:1 Interview,We are trying to improve the current medical practices and more specifically how doctors and patients can have a more efficient and meaningful engagement even outside the clinics.  ,Since we all come from different background. Early on we adopted an approach that encourage team members to present ideas back up by their reasoning. 
4,Team 2,1,Community Appraisal,"Since we would like encourage a sense of community throughout the project, not just the from using our result product or service. So we would like to engage the community throughout the design process.  ",There is a strong argument to be made about why community appraisal is more superior for our application. We each critique this method and compare it with others we've studied on the online textbook. And the benefits are very apparent to us after discussion. 
5,Team 2,1,Usability Testing,Our problems requires that two sets of user will equally find the solution appealing. Balancing the needs of these two groups are crucial to the success of our solution. ,The identified problem(s) involve two sets of participant. One is the patients; the other is the doctors. It is extremely important to for us to test the product on both users.  
6,Team 3,1,AEIOU,Factors important to this method is the amount of time we have to observe our primary and secondary users in their current states. Also documentation the observations either through images or videos taken by hand for each team member. I also question if we might need to be more specific about our primary and secondary user base as this could be quite overwhelming and not useful in a limited time frame if we are personally observing and possibly going through the process of interacting with our users which includes individuals and organizations with a variety of independent ecosystems of their own.   For a 5 day interval AEIOU may not be appropriate and also may require more specificity and developement on the teams part to identify specifically what our user base is. Also the time it would take to prepare space and time to observe effectively may require previous knowledge of our user base which may be difficult for our secondary user base as these are organizations. Ultimately this very hands on or eyes on type of research may require preliminary steps that we are not prepared to take at this time.,"Using AEIOU as a Method of research could be helpful as we begin to study how our product interacts with our users both primary and secondary. However, at the earliest stages it is useful as a tool for evaluating the current systems that are averse to our users and their stake holders. As a research method, it requires active observation of the ecosystems the encompass our user base and is a great starting point as it allows us to understand how our users navigate their world despite their pains and how they problem solve without the help of an intervention. Our team found this method to be useful for its limited requirements. Although it may be time consuming it requires a limited amount of tools for appropriate documentation. As a team we could even make use of social media tools and technology on hand to carry out our observations.   "
7,Team 3,1,Competitive Analysis,"Overall, the reason why competitive analysis was so highly desired when selecting methods was its marriage of feasibility and insight. Given the timeframe specified for research. It became readily apparent to the team that we needed to move quickly on any methods we chose, and therefore needed to deeply consider the ration of time to output offered by each method. Competitive analysis is a research method that requires almost no additional resources and can be conducted quickly, yet efficiently and still offers tremendous insight into the markets and products in question.Competitive analysis is also really effective as a Û÷baseÛª for research, and can help us identify other important components such as customer segments and key offerings. Finally, we also chose competitive analysis because it is highly adaptable. Competitive analysis can be conducted at multiple stages during the design process and can help serve as an anchor to keep our product within our target.market segment and ensuring that we are meeting the pains/gains as well as functional needs that will make our product successful.","Our team decided to conduct competitive analysis for several reasons. Primarily, the main objective with using competitive analysis was to balance the research, thereby focusing on the business applications of the product and understanding how it fits among the already incredibly diverse ecosystem of community based apps. When looking at the provided methods, we noticed that many of them were forward looking in that they made observations about the present or current experiences in order to drawn conclusions about the future. Our team selected competitive analysis primarily because it is focused on both the past and the presents, and would allow us to understand what methods of community connection have already been attempted, and in that conclude what has worked and what has not. Indeed, it is primarily for the purpose of identify opportunities in the larger market that competitive analysis was selected,allowing us to tailor the features of the product to needs( pains and gains) that the marketplace is failing to meet. This type of conclusion can only be reached through competitive analysis, as it is one of the few ways to achieve understanding of what the landscape of the productÛªs commercial environment looks like.Therefore, we believe competitive analysis will provide beneficial, insightful information for us to craft our product to create the product-market fit that will ensure success."
8,Team 3,1,1:1 Interview,"As previously mentioned in the last question, we considered the ability to generate direct feelings and comments about a topic from subjects; time-efficiency of the methods due to the short research phase; the effectiveness of direct conversation with our specific target subjects (college students). After considering all the listed factors, we decided that with careful and appropriate wording of interview questions, the subjects will be expected to reveal some specific feelings about our initial idea. We also decided that with the weekend we are given to conduct research, it would be most efficient for the five team members to split up and ask different subjects at the same time in order to generate the most and most relevant information. Last but not least, as mentioned in the previous questions, we expect the least distraction for our subjects during the conversations from other peers to side track the interview process because we assume that given the age and nature of our subjects (new college students) are generally easily peer pressured due to social needs. 1:1 interview would greatly reduce the distraction from their peers. ","Our team compared all the methodologies and drew a vague categories which each belongs to. For example, we believe 1:1 interview, open card sorting, conversation cafe, and focus group are similar in the sense that they are all methodologies that can draw insight from target customer groups directly through interactions with the potential users. Among these methods, we thought that open card sorting will take more materials and prior planning, and therefore not suitable to our time-pressured research. The time limit also restricted the possibility of conducting a conversation cafe, which requires us to pull together a pool of subjects, and have them be at the same place at a given time. This is unrealistic because of summer studentsÛª tight schedule. Focus group puts a similar problem to us, because after our discussion, we decided that student subjects in a group probably cannot take our discussion too seriously. It is very easy for a group of college-age students to go on tangent and therefore defeats the purpose of our trying to generate useful insight for our initial product design and customer needs, pain points, as well as gain points research. We finally decided that 1:1 interview can be conducted most effectively and efficiently by each of us. We also considered the possibility that we each will be taken more seriously by student subjects if it were a private ÛÏconversationÛ (interview). We also recognized and debated about the potential limitations of this methodology, which include vague wording of the questions, vague response to the interviewers, as well as the subjectivity of a single subjects. We then talked about how we can address those concerns through more careful preparations for the interview questions and mental preparation for the subjects and ask them to please take this seriously. In short, we decided that we will use 1:1 interviews to directly generate insights about our customersÛª perspectives in a limited amount of research period. "
9,Team 4,1,1:1 Interview,"Since we are using AEIOU and competitive analysis already, we wanted to make sure there was a method of research that was directly connected to the people our solution would identify with. The interviews would allow for a richer understanding of the customer's needs as well as the customer's own perspective of their pains/gains rather than just our perception.","We knew that it would be important to get deep insight into a customer's perspective on a situation. We agreed that by facilitating 1 on 1 interviews, we can discern more concretely the specific pain points and benefit a solution or problem may have."
10,Team 4,1,Competitive Analysis,"Our target population, at the moment, consists of mostly college students and young adults. Given these groups, we are likely going to focus on consumer products or services. Since this market likely already has many entries, by analyzing these competing products we may identify where they focus or fall short and thus identify potential opportunities.","Once we have determined the design space we find most practical to answer the challenge, we need to effectively hone in on which solutions will be most effective for our customers and end-users. By focusing on which needs are most important and result in the highest gains, with lowest negatives, the competitive analysis method allows for us to minimize issues by factoring all options upon a spectrum."
11,Team 4,1,AEIOU,"Finally, we felt AEIOU, helped us to identify larger trends in a userÛªs experience that nicely complemented the specificity of interviews and the market based trends competitive analysis focused on. The activities and and objects aspects are especially valuable in our vision as they may reveal insights as to how a consumer product may improve lives.","We believe that it is important to look at all factors at play in a situation. With that in mind, we believe that AEIOU firmly looks at all the people involved in the process and how to better deliver to them a product. This will help us better understand the needs and pains involved for us to better develop a solution for the design challenge"
12,Team 5,1,AEIOU,"We considered similar methods (POSTA/POEMS) and decided on this one because we felt that the categories of Activities, Environments, Interactions, Objects, and Users were the most relevant to our study of bay area transit users. We feel that this method will most effectively help us simplify information as well as make important connections between the different elements of the mnemonic.","We discussed this as a group over online chat, weighing this method against similar ones before deciding on AEIOU."
13,Team 5,1,User Observation,"As we're trying to get information on BART riders, what better way than to go into the station and observe? We will be able to see, in context, what riders do and indirect observation will ensure that we're not influencing our customer's actions in any way.","Similar to the way we decided on method 1, we discussed this as a group in a chat. This method was one of the more obvious ones that we all came to agreement on quickly."
14,Team 5,1,1:1 Interview,"For this one we considered the ease of implementation, we chose 1:1 interviews over methods such as Conversation Cafe, for example, because it would be far more difficult and time consuming to assemble 8 people in a room for an hour. Further, we all personally know people who take the BART and are willing to interview. We also plan on conducting interviews at the stations with volunteers. We want to combine this method with User Observation, observing our participants in context before actually conducting the interview, as we feel this will be an effective way to gain different insights.","Again, we discussed the benefits and limitations of each method and decided that interviews would play an important role in our decision making process."
15,Team 6,1,User Observation,"The first factor we considered when choosing our research methods was the type of data we would like to collect. Since user observation gives us raw insights directly from users, it provides non-verbal information that other methods, such as 1:1 interviews, may not provide. It also nicely complements with 1:1 interviews, as we are already interviewing users at their homes. Another factor was the lack of resources, which makes methods requiring more resources, such as focus groups and community appraisal, unsuitable for this project. In contrast, user observation is more readily implementable than other methods.","With user observation, we can collect raw insights directly from users. We firstly thought about using focus groups, but due to the lack of resources to gather a focus group we chose to use user observation instead. We are not able to use research methods that require lots of resources, like focus groups or community appraisal. User observation allows us to understand the habits and tendencies of users. This method works great especially in early stage of design since it acquires qualitative data that can effectively guide our design direction. "
16,Team 6,1,1:1 Interview,"We considered how well it complemented the other factors we chose and whether or not we had the resources to do it. This provides a deep insight into our customers which the other methods we have chosen don't provide and so gives us valuable information on what is needed and what is not. We also considered the ease of combining 1:1 interviews with user observation studies. Since we are already doing user observation at usersÛª homes, it is easier to conduct 1:1 interviews at usersÛª homes on top of user observation.",It provides useful insight into our clients and goes in depth. This is also another method that our team has the resources to pursue. 
17,Team 6,1,AEIOU,"AEIOU emphasizes on activities that users do, instead of only users. Activities matters because we would like to understand which activities may pose fire hazards, and also what activities can be done to prevent fire. ","We decided to use this method because we needed a method to organize the data we collect from our other two methods, and this method was more relevant to our project than POSTAS or POEMS. "
18,Team 1,2,Empathy Map,"Since we are aiming to help alleviate some of our customerÛªs personal health concerns, we felt that empathizing with them would allow us to better understand the causes for their poor health and therefore create better pain relievers for our customers. This method is great for gaining a different perspective since it allows us to put ourselves in our userÛªs shoes.","All members of the team unanimously decided to use empathy map as one of our analysis methods in order to empathize and better understand the struggles of our customersÛª lives. After doing initial research, this method can help us organize observations and gain deeper insights."
19,Team 1,2,Affinity Diagramming,"After out 1:1 interviews, our team had a lot of information to try and sift through, thus we selected the affinity diagram method to sort through all this information and find common themes in the information the interviewees were relaying to us. After sorting a large amount of data into logical groups, we can figure out clearer ideas for  next stage.","The members in our group are all creative, and the method are suggested to use in situations when every team member has different opinions on how to proceed. So, we choose this method to help solicit ideas from our group and obtain consensus on how information should be structured. The method helps us to figure out the idea, as well as their importance. "
20,Team 1,2,Concept Map,Our main motivator for choosing concept mapping as one of our analysis methods was to have a visual representation of how the information our prospective customers were relaying to us. By having this visual and understanding how the information is interrelated we can then figure out where to focus our energy for the ideation state and what pain we are hoping our product relieves.,"After considering other methods for analysis, our team agreed the best method for our project would be Concept mapping. Although there are other methods similar to concept mappings, we felt that they did not provide as broad of a horizon on the issue or as deep insights as concept mapping."
21,Team 2,2,Empathy Map,"Do: 1. My medical apartments have CCTV to record the whole operation procedure, and have experienced doctors guide me by my side; 2. IÛªd love to talk more about this idea; 3.I would participate if the product was well designed.Think: 1. I think we should deal with picture clarity problem. 2. I think we should take responsibility into consideration.Feel: 1. Positive__ Interesting,help more inexperienced doctor get more guidance, curious 2. Negative: clarity, hard to realize.Gains:1. Build a collective knowledge base cross reference; 2.treat patients with confidence. 3.good PR for the medical industry.Pains: 1. Not sure if the diagnosis is 100% accurate; 2. Cannot consult other doctorsÛª opinions; 3.for beginning doctors, they especially need this validation of their diagnosis; 4.no rich record of the diagnosing process other than text information.","Empathy map is a efficient method to organize observations and representing our user. Our team think we should focus on our customers, combine four quadrants (say_Î do_Î think_Î feel) together.We consider four methods as follows.Doctors said: 1.The  idea of this technology is great; 2. different doctors have different diagnosis and treatment measures, nobody can ensure which measure would lead to better results;; 3. When we take suggestions from other doctors, if his condition becomes deteriorated, who will take the responsibility;4.how to guaranteeing the sharpness of video when the doctors are keeping moving "
22,Team 2,2,Mind Map,It's really hard to start from the first/early stage. We need to find all sorts of information from all dimensions. What the doctors and patients said may vary greatly. So it's really important to use a method to sort out all kinds of data and find a cue to combine all of these and tag them to help visualize.,Mind map is a quick way to generate and organize infromation from our users and we can classify different opinions from patients and doctors to make them visualize and connect to each other.
23,Team 2,2,2x2 Matrix,"2x2 Matrix can provide a clear view of the current market condition and the trend of its development. By using this method, we can know what kind of product will best fit the market. We can find out the gap in the current medical market and capture the need of doctors and patients.","Since there are lots of products in the market with the same or alike functions, we should find out their market positions, so we can precisely identify the opportunity space for ours. We think it's the best way to determine the general direction for our project."
24,Team 3,2,Concept Map," The two primary reasons that our team decided to select the concept map framework was because of its adaptability and its explanatory power in the context of relationships. From our research, we concluded that our potential users had extremely divergent needs when it came to transitioning from Berkeley. The concept map framework allows for many different nodes to be displayed and examined at once, and is therefore perfect for the nature of the data that our team collected. Additionally, given the limited timeframe, we determined that the flexible nature of the concept map would allow us to utilize other methods( atomize, etc) in the context of the concept map in places that we felt needed further investigation. The advantage of the concept map is it is easily scalable, so we would be able to have a central guide that we are able to continuously refer back to during the analysis and serve as an organizer for all our other methods. In this way, the concept map become the center of our analysis process from which all other flows are derived. ","Our team decided on using the concept map method through examining all of the methods each individual member had selected and discussing the pros and cons of each method. There was no formal selection procedure (i.e. voting) but rather we all generally agreed that this would be an excellent framework from which to conduct the analysis portion. The decision was unanimous as together we discovered the majority of us had selected this method or considered selecting this method in the individual survey so we felt it only natural for it to be featured in the main analysis phase. Overall, the selection was rather harmonious, indicating that this will be a good method for our team to invest our time in. "
25,Team 3,2,Task Analysis,"We decided on this method primarily because of the complicated nature of a studentÛªs life and the need to tackle a specific problem. Since our primary customer group that we identified is international students, there are so much more aspects and daily jobs they carry than other student groups; however, at the same time, their jobs also include most of the other studentsÛª jobs. Because students tackle different problems and assignments on a daily basis and generally have some vague big goals in mind, it is even more important for us as ÛÏdesignersÛ to relieve their pains and create their gains to break down what they do everyday and their overarching goals to find out what is actually creating stress and bumps in their lives. We also decided to use the hierarchical task analysis in order to prioritize their many pain points and gain points and we hope that through this method, we could decide based on the analysis on which part of their lives do we want to improve.  ","After evaluating all the options and pictured all the methods in the context of our research, we narrowed down to a handful of options that would fit in the time frame and be feasible with our target customer -- students. Rose proposed that a task analysis would be reasonable because during our previous phase, weÛªve identified so many key jobs that students carry on a daily basis and a task analysis would help us organize the data about students fairly well and break some of the key tasks down for us to get insights. Everyone nodded and showed that he/she agrees. We then discussed the possibility of ways that we use this method and the more we talk about it, the more feasible it appeared to us so we were sure by the end of this part of decision making. "
26,Team 3,2,Customer Journey Mapping,.Factors that were considered for this approach were collaboration with stakeholders. With this method we are able to directly interact with the daily routine of our users. They can begin to draw out and even mention their anecdotal experience. It allows for visual communication and info gathering otherwise not attainable through methods of interview or other static data gathering. Also allows us to understand the emotional viewpoint of our stakeholders what drives them. Factors that affect the effectiveness of this method include not being a very detailed way of info gathering and its also not linear so the documentor or visualizer may have a hard time transferring into image the overall view. The design team also needs to be able to empathize and maybe understand the emotional perspective of the user so to effectively tell the story from the side of the user.. However since we are interviewing people and using methods such as AEIOU it will be helpful to have visual clues that offer the opportunity to capture quickly without expert knowledge and to break down their experience as holistic events.,"Charlie proposed this method and we all at the same time agreed that this was a good idea. We started talking about why we wanted it and therefore convinced everyone on the team that we want to add this map toward our analysis. Over the discussion, we talked about that we needed more visual + analysis type of method and customer journey map seemed fun and pretty to all of us. We raised concern that a studentÛªs daily life or a task often consists of a lot of trivial details that could be hard to keep track and all displayed on one map; however, eventually we decided that this is exactly why we would like to map the ÛÏjourneyÛ out in details to remind us of the details we often neglect but that may be important to how we feel everyday. Therefore, after a little bump in the decision making process, we reached unanimous agreement on this analysis method."
